행정구역별,산업별,사업체구분별,2021,2021,2022,2022,2023,2023,2024,2024
행정구역별,산업별,사업체구분별,사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명),사업체수 (개),종사자수 (명)
,운수 및 창고업(49~52),계,110339,274477,118073,280575,117785,285491,120234,289414
,,단독사업체,107957,175910,115752,183222,115465,180550,117847,184827
,,"본사,본점 등",807,64243,812,63107,796,69946,803,72300
,,"공장,지사(점),영업소",1575,34324,1509,34246,1524,34995,1584,32287
,숙박 및 음식점업(55~56),계,141679,424071,139173,441817,138619,462916,138531,450505
,,단독사업체,131610,331196,129045,343594,128079,359219,127723,345105
,,"본사,본점 등",1252,14921,1275,13147,1326,14059,1416,14945
,,"공장,지사(점),영업소",8817,77954,8853,85076,9214,89638,9392,90455
,정보통신업(58~63),계,57615,490621,59783,518475,57551,507543,54557,490271
,,단독사업체,53663,314781,55516,325324,54451,321222,51361,298549
,,"본사,본점 등",2102,130603,2228,146406,1696,144372,1811,151627
,,"공장,지사(점),영업소",1850,45237,2039,46745,1404,41949,1385,40095
,금융 및 보험업(64~66),계,23262,293681,24627,291740,24807,288023,26746,299964
,,단독사업체,17681,64955,19224,63729,19655,65539,21401,69885
,,"본사,본점 등",879,128568,860,136641,791,132006,799,137905
,,"공장,지사(점),영업소",4702,100158,4543,91370,4361,90478,4546,92174
,부동산업(68),계,72984,205378,72058,196379,71119,193591,68325,188936
,,단독사업체,64198,151615,63315,138882,62789,131481,59445,124831
,,"본사,본점 등",2130,26574,2489,27348,2104,32726,2054,32852
,,"공장,지사(점),영업소",6656,27189,6254,30149,6226,29384,6826,31253
,"전문, 과학 및 기술 서비스업(70~73)",계,82402,597759,81166,605708,80707,628504,81006,630526
,,단독사업체,73891,314264,72804,307033,72946,310743,72962,303201
,,"본사,본점 등",4303,200000,4301,212794,4001,220366,4108,222958
,,"공장,지사(점),영업소",4208,83495,4061,85881,3760,97395,3936,104367
,"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",계,31460,492983,29595,488351,28626,524790,27912,520190
,,단독사업체,28207,213671,26506,202701,25671,202452,24948,194930
,,"본사,본점 등",1362,224332,1264,207299,1215,247209,1228,265477
,,"공장,지사(점),영업소",1891,54980,1825,78351,1740,75129,1736,59783
,"공공행정, 국방 및 사회보장 행정(84)",계,1369,161167,1365,165663,1334,163456,1316,163874
,,단독사업체,1262,152156,1258,156342,1225,154184,1199,154409
,,"본사,본점 등",8,2291,11,3148,11,3030,11,3402
,,"공장,지사(점),영업소",99,6720,96,6173,98,6242,106,6063
,교육 서비스업(85),계,46855,361663,47002,365167,49232,364171,50822,366094
,,단독사업체,42956,207941,42943,207238,45236,206098,46772,206056
,,"본사,본점 등",934,61424,974,54898,944,54043,976,55110
,,"공장,지사(점),영업소",2965,92298,3085,103031,3052,104030,3074,104928
,보건업 및 사회복지 서비스업(86~87),계,31866,450396,32319,470395,32286,486955,32815,508898
,,단독사업체,29420,311073,29486,320306,29665,337587,30193,353746
,,"본사,본점 등",502,29998,672,25185,644,28274,657,33086
,,"공장,지사(점),영업소",1944,109325,2161,124904,1977,121094,1965,122066
,"예술, 스포츠 및 여가관련 서비스업(90~91)",계,28722,88491,28242,90030,28777,91995,30188,93249
,,단독사업체,27199,65212,26527,65735,27032,67523,28168,67694
,,"본사,본점 등",363,8655,449,7890,428,7616,471,7556
,,"공장,지사(점),영업소",1160,14624,1266,16405,1317,16856,1549,17999
,"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",계,77887,186496,77916,185909,79403,183832,82787,190475
,,단독사업체,74938,150846,73695,146078,75685,147239,79078,153414
,,"본사,본점 등",903,17398,1818,18132,1500,17880,1445,17769
