"경상북도","계",1410,1462,1462,1462,1479
"경상북도"," 1-17시간",111,118,136,151,162
"경상북도"," 18-35시간",224,290,238,285,232
"경상북도"," 36-44시간",614,602,635,606,637
"경상북도"," 45-53시간",280,270,280,259,280
"경상북도","*36시간미만",335,408,373,436,394
"경상북도"," 54시간 이상",166,164,162,147,151
"경상북도","*36시간 이상",1060,1035,1077,1012,1069
"경상북도","일시휴직자",15,18,11,14,16
"경상북도","주당평균취업시간 (시간)",39.1,38.4,38.6,37.7,37.9
"경상북도","1~14시간",83,87,102,107,119
"경상북도","15~35시간",253,321,271,329,275
"경상북도","36~52시간",891,868,914,862,915
"경상북도","53시간이상",169,167,164,150,153
"경상남도","계",1732,1740,1760,1758,1799
"경상남도"," 1-17시간",147,150,148,159,155
"경상남도"," 18-35시간",316,371,333,400,327
"경상남도"," 36-44시간",627,623,681,646,725
"경상남도"," 45-53시간",359,358,364,327,352
"경상남도","*36시간미만",463,520,480,559,482
"경상남도"," 54시간 이상",248,207,210,199,204
"경상남도","*36시간 이상",1233,1188,1254,1172,1281
"경상남도","일시휴직자",36,33,26,27,35
"경상남도","주당평균취업시간 (시간)",39.3,38.5,38.8,38.0,38.5
"경상남도","1~14시간",98,103,105,111,107
"경상남도","15~35시간",365,418,376,448,376
"경상남도","36~52시간",979,974,1039,967,1069
"경상남도","53시간이상",255,214,216,205,212
"제주도","계",383,402,401,400,403
"제주도"," 1-17시간",39,38,36,35,40
"제주도"," 18-35시간",74,94,76,93,75
"제주도"," 36-44시간",130,145,156,153,171
"제주도"," 45-53시간",75,68,74,65,64
"제주도","*36시간미만",113,131,112,128,114
"제주도"," 54시간 이상",53,48,49,45,45
"제주도","*36시간 이상",258,260,280,263,280
"제주도","일시휴직자",13,11,9,9,8
"제주도","주당평균취업시간 (시간)",37.7,37.0,38.0,37.2,37.5
"제주도","1~14시간",27,26,25,23,25
"제주도","15~35시간",85,105,87,105,89
"제주도","36~52시간",204,212,230,218,235
"제주도","53시간이상",54,48,50,45,45
